Tweet ID,Screen Name,Number of Followers,Location,Tweet
1455245924775641089,Shield_IT_,219,"England, United Kingdom",b'Check out our Dashcam install on the BMW M2 competition in Manchester. #BMW #Dashcam #Blackvue #900x #Security\xe2\x80\xa6 https://t.co/TmELhdAPRa'
1455244470409220100,eastsiders_cars,1066,,b'BMW M2 COMPETITION \xf0\x9f\x8c\xb9 https://t.co/7aZyBROo0f'
1455234446873948163,Shield_IT_,219,"England, United Kingdom",b'Check out our Dashcam install on the BMW M2 competition in Manchester. #BMW #Dashcam #Blackvue #900x #Security\xe2\x80\xa6 https://t.co/dqLnuAk8Ab'
1455226394078629891,BodyKits1,12,,b'For 2016 2017-2018 BMW M2 Front Bumper Splitter Lip Black Carbon Fiber 1PC https://t.co/9r5STH66Lt eBay https://t.co/TiBc5qLRxt'
1455211695392104448,____Kabelo,2065,"Johannesburg , South Africa",b'@carwowuk Bmw M2 CS'
1455211609975103489,j_vandenbalck,1131,"Leuven, België","b""BMW M2 NL Cup CHAMPIONS! \xf0\x9f\x8f\x86\xf0\x9f\xa5\x87 Last round is done and we managed to keep our championship lead\n\nI'd like to thank my t\xe2\x80\xa6 https://t.co/FkEGebcEcO"""
1455184871916191745,CARiD_com,5181,"New Jersey, USA",b'You count on BMW M2 to give you goosebumps. #caridmodifiedcars https://t.co/It5XFlGQ4J'
1455138097814020107,OF2BEACH,17,Charlotte,b'Classic orange #bmw #m2 #interior @BMW @BMWMotorsport https://t.co/jzbpm7j3me'
1455082183283126273,jeanloh12,33,,"b'Bridegroom is 25, at 1m85, bride is 24, hunchback at 1m20. Bride\xe2\x80\x99s family owns car repair shop and dealership. Her\xe2\x80\xa6 https://t.co/hNCBP9ngwE'"
1454899219165188099,JcsportlineCN,1501,香港,b'ML-ZDH210-PRO Dry Carbon Fiber Side Front Fender For BMW 2 Series BMW F87 M2 M2C 2D 2016 - 2021 is important for yo\xe2\x80\xa6 https://t.co/NJBsbWvMAP'
1454886527134142468,BodyKits1,12,,b'Fits BMW F87 M2 M2C Coupe 16-18 Rear Bumper Lip Diffuser Spoiler Carbon Fiber https://t.co/4BySV1k7A2 eBay https://t.co/7dVHChNA5s'
1454850161738502146,ComlineParts,2081,Luton,b'Avid followers of Comline here on social may remember our competition to win a driving experience at Silverstone. O\xe2\x80\xa6 https://t.co/kUXD1fZTV9'
1454813620798431235,pptwit47,55,UK,"b'@YearLightBuzzy @carwowuk More fun than a Mustang GT PP2 or  BMW M2 Competition, without any Track Mode or racing b\xe2\x80\xa6 https://t.co/iG47cWjh0f'"
1454730559632994310,Kassie_YEG,13,YEG,"b'@JayzTwoCents I was always a Camaro gal, then I got behind the wheel of a BMW M2, yeah I havent driven anything else since'"
1454730246863851528,BenNicholson82,56,,"b""@carwowuk BMW M2, isn't that practically the same engine, granted less power but it's for less than \xc2\xa380k"""
1454709816362897414,rifkypraaa,7,,"b""And here's the BMW M2 x M Performance time-lapse video.\n#HAPEBEASTGANG #NFTs #BAYC #BoredApeYachtClub https://t.co/9Jsg8GwtmU"""
1454709693666902021,rifkypraaa,7,,"b'here\'s the collection so far\n- Tesla Roadster ""PatriotHape""\n- Ducati Panigale v4t ""WhiteHape""\n- Brabus G63 ""AlphaHa\xe2\x80\xa6 https://t.co/XIDgnYcwcc'"
1454709257702567939,SkipperReu,104,"Sydney, New South Wales",b'@AR12Gaming we all know supra but im swapping it for a bmw m2 when i can buy one'
